date,name,pos,id,Oppt,points,pointsDist,HomeAway,meanPoints,variancePoints,deviationPoints,mean10Day,mean5Day,meanHomeAway,meanRightLeft,OpptWins,OpptAverage,OpptPointsAverage10,OpptAverage5,OpptPosTotalPointsAverage,OpptPosTotalPointsAverage10,OpptPosTotalPointsAverage5,opptPitchMean,opptPitchVar,opptPitchMean10,opptPitchMean5,opptPitchMeanHA,team_averageRuns,team_averageRuns10,team_averageRuns5,oppt_averageRuns,oppt_averageRuns10,oppt_averageRuns5
20160416,Adrian Gonzalez,1B,408236,sfo,0,0,0,0.7272692308,0.2066355012,0.3631405532,0.6103151862,0.4166666667,0.3636363636,0.9687479492,0.7142857143,0.7653743316,0.8038277512,1,0.75,0.8038277512,0.8269230769,0.7105263158,0.0025854639,0.7105263158,0.6949152542,0.9473684211,0.7529644269,0.6114649682,0.4871794872,0.7424242424,0.5824411135,0.5578231293
20160416,Anthony Rizzo,1B,519203,col,27,0.9,0,0.7923076923,1,1,0.670487106,0.1666666667,0.0909090909,0.9375031901,0.7142857143,1,1,0.444015444,1,1,0.8846153846,0,0,0,0.0338983051,0.2105263158,1,1,0.7435897436,0.8333333333,0.6338329764,0.7959183673
20160416,Brandon Belt,1B,474832,lad,9,0.3,1,0.7482538462,0.463366391,0.6224071219,0.6790830946,0.7083333333,0.6623393939,0.9125000911,0.8571428571,0.1788101604,0.4354066986,0.2664092664,0.2954545455,0.4354066986,0.3076923077,0.4473684211,0.4369434071,0.4473684211,0.1355932203,0.2105263158,0.871541502,0.8662420382,0.7008547009,0.6414141414,0.4111349036,0.387755102
20160416,Byungho Park,1B,666560,laa,21,0.7,0,0.3653846154,0.1329581869,0.2646576684,0.3647155137,0.3333333333,0.2727272727,0.4687515951,0.5714285714,0.3409926471,0,0.3590733591,0.275,0,0,0.6842105263,0,0.6842105263,0.6949152542,0.2105263158,0,0,0.0598290598,0.2037037037,0.2676659529,0.4217687075
20160416,C.J. Cron,1B,543068,min,6,0.2,1,0.0769230769,0.0048260685,0.0144890651,0.1289398281,0.2777777778,0.2121212121,0.1250009115,0,0.3740808824,0.2344497608,0.1737451737,0.4,0.2344497608,0.3076923077,0.5789473684,0,0.5789473684,0.593220339,0.2105263158,0.2391304348,0.398089172,0.5299145299,0,0,0.0476190476
20160416,Chris Carter,1B,474892,pit,0,0,1,0.8205153846,0.2299353521,0.3910886932,0.9246827671,0.8333333333,0.8181818182,0.7812502279,0.5714285714,0.6651069519,0.4688995215,0.9227799228,0.4090909091,0.4688995215,0.8269230769,0.5263157895,0.0413674232,0.5263157895,0.6440677966,0.6315789474,0.3695652174,0.4840764331,0.4017094017,0.3720538721,0.2740899358,0.3537414966
20160416,Chris Davis,1B,448801,tex,21,0.7,1,1,0.4548086946,0.6150341298,1,1,1,0.8749990885,0.7142857143,0.2757352941,0.0260499734,0.3359073359,0,0.0260499734,0.3653846154,0.5789473684,0.1654696926,0.5789473684,0.593220339,0.5789473684,0.8043478261,0.9171974522,0.9230769231,0.4660493827,0.4488222698,0.5714285714
20160416,Eric Hosmer,1B,543333,oak,3,0.1,1,0.5846153846,0.0989923169,0.2120699942,0.6189111748,0.6666666667,0.6363636364,0.5898441772,0.4285714286,0.2640374332,0.8708133971,0.528957529,0.7045454545,0.8708133971,1,0.6403508772,0.0830221201,0.6403508772,0.6525423729,0.850877193,0.4130434783,0.5414012739,0.4102564103,0.1363636364,0.0856531049,0.0816326531
20160416,Freddie Freeman,1B,518692,mia,9,0.3,1,0.3846153846,0.1158256438,0.2388563142,0.2836676218,0.3333333333,0.2727272727,0.4531255697,0.2857142857,0.5009191176,0.5023923445,0.2561132561,0.5,0.5023923445,0.4615384615,0.5438596491,0,0.5438596491,0.5593220339,0.2105263158,0.2391304348,0.2547770701,0.2051282051,0.4351851852,0.3034567146,0.3537414966
20160416,Hanley Ramirez,1B,434670,tor,9,0.3,0,0.6153846154,0.2084861588,0.3654076749,0.5931232092,0.1666666667,0.0909090909,0.6354170464,0.5714285714,0.2239304813,0.4641148325,0.332046332,0.25,0.4641148325,0.4230769231,1,0,1,1,0.2105263158,0.770531401,0.7993630573,0.6581196581,0.4057239057,0.3447537473,0.3537414966
20160416,Joey Votto,1B,458015,stl,12,0.4,1,0.4692307692,0.1285278561,0.2581140821,0.4498567335,0.5833333333,0.5454545455,0.6249972656,0.7142857143,0.1617647059,0.5789473684,0.184041184,0.525,0.5789473684,0.6923076923,0.2105263158,0.0413674232,0.2105263158,0.1355932203,0.2105263158,0.4565217391,0.4331210191,0.1452991453,1,1,1
20160416,John Jaso,1B,444379,mil,6,0.2,0,0.5846153846,0.0086483147,0.0254012547,0.6446991404,0.5833333333,0.4242424242,0.6062504102,0.5714285714,0.7904411765,0.8851674641,0.425997426,0.825,0.8851674641,0.3846153846,0.0263157895,0.2094225797,0.0263157895,0.0593220339,0,0.4367588933,0.4076433121,0.4444444444,0.3148148148,0.3254817987,0.3197278912
20160416,Jose Abreu,1B,547989,tam,3,0.1,1,0.5846153846,0.2518821667,0.4163244223,0.5931232092,0.2916666667,0.4090909091,0.5868035554,0.2857142857,0.4181985294,0.3237639553,0.4131274131,0.225,0.3237639553,0.0769230769,0,0,0,0.0338983051,0.2105263158,0.347826087,0.3121019108,0.2307692308,0.0925925926,0.0391557051,0.0136054422
20160416,Justin Bour,1B,571506,atl,30,1,0,0.4065923077,0.0691802145,0.1602436925,0.4383954155,0.3888888889,0.3333333333,0.4374995443,0,0.5836397059,0.4019138756,0.2702702703,0.4,0.4019138756,0.0192307692,0.3157894737,0.0413674232,0.3157894737,0.3389830508,0.4210526316,0.5108695652,0.4513193813,0.4444444444,0.2037037037,0.1713062099,0.1632653061
20160416,Lucas Duda,1B,446263,cle,0,0,1,0.3365384615,0.0607481371,0.1443154857,0.3696275072,0.3333333333,0.2727272727,0.3710944051,0.4285714286,0.2355238971,0.3684210526,0.2818532819,0.625,0.3684210526,0.1346153846,0,0,0,0.0338983051,0.2105263158,0.2149758454,0.2547770701,0.2735042735,0.4583333333,0.4356072193,0.3537414966
20160416,Mark Reynolds,1B,448602,chc,6,0.2,1,0.4615384615,0.2818423999,0.449282053,0.500286533,0.9166666667,0.0909090909,0.6171878988,1,0.0735294118,0.5693779904,0.2767052767,0.45,0.5693779904,0.3076923077,0.8157894737,0.0232691755,0.8157894737,0.7457627119,0.2105263158,0.9782608696,0.9426751592,1,0.8518518519,0.6723768737,0.5918367347
20160416,Mark Teixeira,1B,407893,sea,9,0.3,0,0.7692307692,0.5019111231,0.6548621783,0.8252148997,0.4583333333,1,0.7812502279,0.4285714286,0.2775735294,0.1196172249,0.4465894466,0.15,0.1196172249,0.3076923077,0.7368421053,0.0930767021,0.7368421053,0.8983050847,0.7894736842,0.6256038647,0.7133757962,0.1025641026,0.3703703704,0.2291220557,0.2857142857
20160416,Miguel Cabrera,1B,408234,hou,15,0.5,1,0.5897461538,0.1218314179,0.248056577,0.6189111748,0.4333333333,0.3818181818,0.9125000911,0.4285714286,0.6375334225,0.8001063264,0.2972972973,0.8636363636,0.8001063264,0.4807692308,0.2719298246,1,0.2719298246,0.2966101695,1,0.770531401,0.7420382166,0.6495726496,0.3720538721,0.2946466809,0.2176870748
